Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,139.79,141.1,139.27,141.09,141.09,10811019.0
2020-01-03,137.5,139.23,137.08,138.34,138.34,10387518.0
2020-01-06,136.56,138.27,136.5,138.23,138.23,10266522.0
2020-01-07,137.28,137.86,135.82,135.88,135.88,10576911.0
2020-01-08,135.7,137.58,135.6,136.94,136.94,9697731.0
2020-01-09,138.05,138.23,137.04,137.44,137.44,9470746.0
2020-01-10,137.21,137.25,135.81,136.07,136.07,10192026.0
2020-01-13,136.19,137.2,135.76,137.2,137.2,12381809.0
2020-01-14,137.94,140.76,137.69,138.8,138.8,24942958.0
2020-01-15,137.85,138.6,136.15,136.72,136.72,16293416.0
2020-01-16,137.45,137.9,136.84,137.25,137.25,10783752.0
2020-01-17,137.54,138.29,137.32,138.2,138.2,14697672.0
2020-01-21,137.19,138.07,136.69,136.84,136.84,8474247.0
2020-01-22,137.24,137.4,136.38,136.68,136.68,7549111.0
2020-01-23,135.71,136.75,134.72,136.54,136.54,9345683.0
2020-01-24,136.37,136.43,132.32,133.15,133.15,15166392.0
2020-01-27,130.27,132.94,129.71,132.03,132.03,12860456.0
2020-01-28,132.84,134.97,132.48,134.43,134.43,13062789.0
2020-01-29,134.81,135.54,133.69,134.23,134.23,9326173.0
2020-01-30,132.69,136.13,132.69,135.89,135.89,9048887.0
2020-01-31,134.49,134.83,131.47,132.36,132.36,12785242.0
2020-02-03,132.66,134.24,132.66,133.37,133.37,10021369.0
2020-02-04,135.55,136.6,135.08,135.29,135.29,9157126.0
2020-02-05,136.57,137.73,136.01,137.59,137.59,10150709.0
2020-02-06,138.24,138.29,137.11,137.61,137.61,8992592.0
2020-02-07,136.73,137.67,136.3,137.17,137.17,6379784.0
2020-02-10,136.95,137.85,136.75,137.74,137.74,5960700.0
2020-02-11,138.26,138.82,137.78,138.0,138.0,6578649.0
2020-02-12,138.6,139.29,137.8,138.0,138.0,7957984.0
2020-02-13,137.75,138.34,136.4,137.88,137.88,7447535.0
2020-02-14,137.84,138.19,136.94,137.46,137.46,6627891.0
2020-02-18,137.34,137.71,135.05,135.64,135.64,8997247.0
2020-02-19,136.91,138.39,136.34,137.49,137.49,7071399.0
2020-02-20,137.17,138.36,136.53,137.49,137.49,7422800.0
2020-02-21,136.55,136.92,134.92,135.81,135.81,9772770.0
2020-02-24,131.44,133.2,130.8,132.16,132.16,13618432.0
2020-02-25,131.0,132.23,125.59,126.26,126.26,20797188.0
2020-02-26,126.93,128.95,126.34,126.64,126.64,24836163.0
