Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,39.3,39.35,38.88,39.14,39.14,15668508.0
2020-01-03,38.72,39.24,38.67,38.93,38.93,14160525.0
2020-01-06,38.82,39.0,38.7,38.88,38.88,14964445.0
2020-01-07,39.12,39.13,38.68,38.75,38.75,19106673.0
2020-01-08,38.76,39.22,38.75,39.06,39.06,15563492.0
2020-01-09,39.27,39.27,38.79,38.89,38.89,20846670.0
2020-01-10,38.98,39.63,38.97,39.49,39.49,20453122.0
2020-01-13,39.62,39.77,39.21,39.41,39.41,14603987.0
2020-01-14,39.43,40.08,39.3,40.07,40.07,19848824.0
2020-01-15,40.19,40.87,40.17,40.67,40.67,22700038.0
2020-01-16,40.79,40.8,40.32,40.61,40.61,15385561.0
2020-01-17,40.57,40.81,40.42,40.51,40.51,21901267.0
2020-01-21,40.38,40.66,40.19,40.34,40.34,21931425.0
2020-01-22,40.32,40.41,39.97,40.19,40.19,17171029.0
2020-01-23,40.19,40.83,40.13,40.71,40.71,25757788.0
2020-01-24,40.94,40.97,39.64,39.82,39.82,32394393.0
2020-01-27,39.41,40.43,39.25,40.16,40.16,30326362.0
2020-01-28,39.32,39.49,37.95,38.14,38.14,66605677.0
2020-01-29,38.12,38.38,37.55,37.58,37.58,32428430.0
2020-01-30,37.1,37.17,36.69,37.07,37.07,30660865.0
2020-01-31,36.94,37.45,36.9,37.24,37.24,32157496.0
2020-02-03,37.46,38.04,37.3,37.51,37.51,19806426.0
2020-02-04,38.08,38.24,37.63,37.69,37.69,29554945.0
2020-02-05,37.85,38.57,37.82,38.17,38.17,27935394.0
2020-02-06,38.44,38.5,38.03,38.26,38.26,19969440.0
2020-02-07,38.36,38.4,37.93,38.05,38.05,20781404.0
2020-02-10,38.21,38.22,37.72,37.81,37.81,18973817.0
2020-02-11,37.89,38.13,37.76,38.09,38.09,15206157.0
2020-02-12,38.09,38.19,37.72,37.74,37.74,21768829.0
2020-02-13,37.58,37.58,36.89,36.93,36.93,20967453.0
2020-02-14,36.97,37.04,36.42,36.51,36.51,19930518.0
2020-02-18,36.55,36.67,36.27,36.32,36.32,17076732.0
2020-02-19,36.4,36.5,36.21,36.23,36.23,16841537.0
2020-02-20,35.71,36.06,35.41,35.85,35.85,40752452.0
2020-02-21,35.76,35.82,35.53,35.72,35.72,30763978.0
2020-02-24,35.04,35.4,34.6,34.67,34.67,36023998.0
2020-02-25,34.68,34.74,33.71,33.93,33.93,39733261.0
2020-02-26,34.24,35.21,34.02,34.72,34.72,45468733.0
2020-02-27,34.44,35.71,34.1,34.1,34.1,52604246.0
2020-02-28,33.49,33.94,32.53,33.42,33.42,62686926.0
2020-03-02,33.91,34.95,33.45,34.88,34.88,39880883.0
2020-03-03,35.18,35.78,33.86,34.3,34.3,43808820.0
2020-03-04,35.1,36.46,34.95,36.4,36.4,36728840.0
2020-03-05,35.65,36.18,35.16,35.46,35.46,33298157.0
2020-03-06,34.7,35.17,34.12,35.02,35.02,38834135.0
2020-03-09,33.46,34.69,33.16,33.76,33.76,40971383.0
2020-03-10,34.57,34.66,33.01,34.59,34.59,38470901.0
2020-03-11,33.76,33.88,31.66,32.17,32.17,62040667.0
2020-03-12,30.48,32.0,30.0,30.02,30.02,59517498.0
2020-03-13,31.27,32.88,30.23,32.71,32.71,57450721.0
2020-03-16,29.94,32.29,29.65,30.18,30.18,48382415.0
2020-03-17,31.64,32.65,30.59,32.16,32.16,51442678.0
2020-03-18,30.77,32.61,30.31,32.36,32.36,41636580.0
2020-03-19,32.22,32.25,30.01,30.42,30.42,56756052.0
2020-03-20,30.28,30.67,28.91,29.01,29.01,49799762.0
2020-03-23,28.76,29.58,27.88,28.49,28.49,50145209.0
2020-03-24,29.51,30.05,28.9,29.7,29.7,42188606.0
2020-03-25,29.5,30.72,29.0,29.75,29.75,42316195.0
2020-03-26,29.89,31.99,29.88,31.75,31.75,41062990.0
2020-03-27,30.8,31.74,30.66,30.9,30.9,36328620.0
2020-03-30,31.05,32.85,31.05,32.67,32.67,28409427.0
2020-03-31,32.4,33.0,32.24,32.64,32.64,27959542.0
2020-04-01,31.92,32.28,31.53,31.75,31.75,25341170.0
2020-04-02,31.9,33.0,31.75,32.87,32.87,25794016.0
2020-04-03,32.63,33.89,32.63,33.64,33.64,31154953.0
2020-04-06,33.92,34.9,33.78,34.57,34.57,38428056.0
2020-04-07,35.0,35.17,33.59,33.61,33.61,22985142.0
2020-04-08,33.99,34.8,33.44,34.6,34.6,24216276.0
2020-04-09,35.03,35.77,34.85,35.39,35.39,29141342.0
2020-04-13,35.96,35.98,34.72,35.14,35.14,17334099.0
2020-04-14,35.93,36.63,35.34,36.44,36.44,20726118.0
2020-04-15,36.06,36.23,35.58,35.97,35.97,20220325.0
2020-04-16,36.12,36.26,35.58,35.88,35.88,19599069.0
2020-04-17,36.5,37.0,36.11,36.91,36.91,23154488.0
2020-04-20,36.38,36.91,36.08,36.08,36.08,21376250.0
2020-04-21,35.78,35.93,35.37,35.62,35.62,22746948.0
2020-04-22,36.96,37.0,36.12,36.25,36.25,19151903.0
2020-04-23,36.28,37.4,36.28,36.69,36.69,19151219.0
2020-04-24,36.84,37.43,36.79,37.38,37.38,16470036.0
2020-04-27,37.59,38.54,37.57,38.33,38.33,22195482.0
2020-04-28,39.05,39.22,37.38,37.91,37.91,33839412.0
2020-04-29,38.46,38.55,37.71,38.12,38.12,25159860.0
2020-04-30,38.0,38.51,37.36,38.36,38.36,27942069.0
2020-05-01,37.85,37.94,37.39,37.64,37.64,21517923.0
2020-05-04,37.6,37.92,37.41,37.62,37.62,18874290.0
2020-05-05,38.81,38.86,38.27,38.51,38.51,22887973.0
2020-05-06,38.97,39.01,38.51,38.51,38.51,22815411.0
2020-05-07,38.41,38.49,36.89,36.96,36.96,31827424.0
2020-05-08,37.25,37.38,37.04,37.22,37.22,18881725.0
2020-05-11,37.25,38.21,37.16,38.1,38.1,24307817.0
2020-05-12,38.12,38.24,37.34,37.36,37.36,18344693.0
2020-05-13,37.31,37.43,36.59,37.05,37.05,23336671.0
2020-05-14,36.8,37.96,36.78,37.92,37.92,21216779.0
2020-05-15,37.96,38.17,37.39,37.76,37.76,24155585.0
2020-05-18,38.34,38.46,37.63,38.07,38.07,21479177.0
2020-05-19,37.85,38.02,37.31,37.68,37.68,18478352.0
2020-05-20,37.95,38.2,37.55,37.63,37.63,16607435.0
2020-05-21,37.57,37.65,37.05,37.26,37.26,16747793.0
2020-05-22,37.11,37.53,36.96,37.5,37.5,14972724.0
2020-05-26,37.65,37.87,37.45,37.49,37.49,22068379.0
2020-05-27,37.41,37.54,36.97,37.41,37.41,24576965.0
2020-05-28,37.84,38.44,37.72,38.18,38.18,21371034.0
2020-05-29,38.27,38.43,37.58,38.19,38.19,46146287.0
2020-06-01,35.5,35.73,34.91,35.46,35.46,73005888.0
2020-06-02,35.53,36.16,35.25,36.16,36.16,40503656.0
2020-06-03,36.29,36.41,35.54,36.16,36.16,36766624.0
2020-06-04,35.71,36.29,35.7,36.01,36.01,25629391.0
2020-06-05,36.24,36.49,35.88,35.99,35.99,34825149.0
2020-06-08,35.8,36.6,35.68,36.59,36.59,28647209.0
2020-06-09,36.5,36.66,36.17,36.21,36.21,20564604.0
2020-06-10,36.36,36.45,35.89,35.92,35.92,28042861.0
2020-06-11,35.6,35.68,33.28,33.3,33.3,59930390.0
2020-06-12,34.08,34.11,33.05,33.75,33.75,35960616.0
2020-06-15,33.3,33.72,32.76,33.36,33.36,34390398.0
2020-06-16,33.59,33.96,32.72,33.4,33.4,52767542.0
2020-06-17,33.59,33.77,33.32,33.56,33.56,26100377.0
2020-06-18,33.27,33.47,32.98,33.24,33.24,30625130.0
2020-06-19,33.69,33.74,33.12,33.42,33.42,41677037.0
2020-06-22,33.33,33.36,32.91,33.11,33.11,22137128.0
2020-06-23,33.2,33.25,32.74,32.77,32.77,35759420.0
2020-06-24,32.71,32.73,32.0,32.19,32.19,29238789.0
2020-06-25,32.11,32.38,31.83,32.32,32.32,26013893.0
2020-06-26,32.25,32.28,31.61,32.04,32.04,39994343.0
2020-06-29,32.46,32.67,32.2,32.64,32.64,22728941.0
2020-06-30,32.53,32.88,32.23,32.7,32.7,24147738.0
2020-07-01,34.54,34.54,33.72,33.74,33.74,69737244.0
2020-07-02,34.62,34.85,34.04,34.51,34.51,42951533.0
2020-07-06,34.95,34.99,34.38,34.51,34.51,25759949.0
2020-07-07,34.05,34.35,33.96,34.03,34.03,23859570.0
2020-07-08,34.01,34.37,33.57,33.75,33.75,23013834.0
2020-07-09,33.73,33.88,33.1,33.46,33.46,19320445.0
2020-07-10,33.66,34.04,33.49,33.83,33.83,23205943.0
2020-07-13,34.73,35.72,34.52,35.21,35.21,53670893.0
2020-07-14,35.37,35.42,34.88,35.23,35.23,31170910.0
2020-07-15,35.99,36.0,35.47,35.72,35.72,24947343.0
2020-07-16,35.6,35.64,35.26,35.6,35.6,17478027.0
2020-07-17,35.86,36.33,35.73,36.25,36.25,22169382.0
2020-07-20,37.49,37.62,36.32,36.5,36.5,34929465.0
2020-07-21,36.94,37.08,36.52,36.69,36.69,22435437.0
2020-07-22,38.23,38.73,37.52,38.56,38.56,86058379.0
2020-07-23,39.23,39.42,38.18,38.41,38.41,56584040.0
2020-07-24,38.03,38.15,37.33,37.66,37.66,32135188.0
2020-07-27,37.36,37.75,37.23,37.54,37.54,26224224.0
2020-07-28,38.54,39.34,38.06,39.02,39.02,53504653.0
2020-07-29,39.3,39.45,38.45,39.26,39.26,35136308.0
2020-07-30,38.28,38.94,38.2,38.74,38.74,30620341.0
2020-07-31,38.67,38.75,37.86,38.48,38.48,27042691.0
2020-08-03,38.61,38.66,38.22,38.35,38.35,29446336.0
2020-08-04,38.31,38.68,38.09,38.39,38.39,27939806.0
2020-08-05,38.47,38.53,38.13,38.45,38.45,23344231.0
2020-08-06,38.77,39.1,38.15,38.27,38.27,19850154.0
2020-08-07,38.3,38.62,38.16,38.45,38.45,21913899.0
2020-08-10,38.55,38.66,38.26,38.39,38.39,18941735.0
2020-08-11,38.56,38.58,37.68,37.79,37.79,20234243.0
2020-08-12,37.83,38.55,37.81,38.33,38.33,18942911.0
2020-08-13,38.07,38.18,37.88,38.17,38.17,14554052.0
2020-08-14,38.01,38.39,37.93,38.06,38.06,12240278.0
2020-08-17,38.04,38.41,37.95,38.35,38.35,16597946.0
2020-08-18,38.45,38.46,38.17,38.36,38.36,10290720.0
2020-08-19,38.48,38.61,38.12,38.26,38.26,14886179.0
2020-08-20,38.18,38.79,38.13,38.72,38.72,20832543.0
2020-08-21,38.91,39.0,38.57,38.88,38.88,24162380.0
2020-08-24,39.02,39.04,38.54,38.84,38.84,23730486.0
2020-08-25,38.51,38.56,37.95,38.41,38.41,24877806.0
2020-08-26,38.19,38.27,37.66,38.05,38.05,22849789.0
